data_sheet,collection_datetime,experiment_datetime,collection_temp,collection_salinity,collection_ph,lab_temp,ramp_start_temp,water_bath,thermometer,tube,species,sex,ctmax,size,fecundity
5,2025-01-12 11:00:00,2025-01-14 20:30:00,2.3,33.85,8.4,3,3,1,5,1,Tortanus discaudatus,f,25.1,,NA
5,2025-01-12 11:00:00,2025-01-14 20:30:00,2.3,33.85,8.4,3,3,1,5,2,Calanus finmarchicus,m,25.3,,NA
5,2025-01-12 11:00:00,2025-01-14 20:30:00,2.3,33.85,8.4,3,3,1,5,3,NA,NA,NA,NA,NA
5,2025-01-12 11:00:00,2025-01-14 20:30:00,2.3,33.85,8.4,3,3,1,5,4,Acartia hudsonica,f,25.5,,NA
5,2025-01-12 11:00:00,2025-01-14 20:30:00,2.3,33.85,8.4,3,3,1,5,5,Centropages hamatus,f,27.3,,NA
5,2025-01-12 11:00:00,2025-01-14 20:30:00,2.3,33.85,8.4,3,3,1,5,6,Centropages hamatus,m,27.2,,NA
5,2025-01-12 11:00:00,2025-01-14 20:30:00,2.3,33.85,8.4,3,3,1,5,7,Acartia tonsa,f,30.7,,NA
5,2025-01-12 11:00:00,2025-01-14 20:30:00,2.3,33.85,8.4,3,3,1,5,8,Calanus finmarchicus,f,26,,NA
5,2025-01-12 11:00:00,2025-01-14 20:30:00,2.3,33.85,8.4,3,3,1,5,9,Pseudocalanus sp.,f,23.3,,16
5,2025-01-12 11:00:00,2025-01-14 20:30:00,2.3,33.85,8.4,3,3,1,5,10,Centropages typicus,f,26.8,,NA
5,2025-01-12 11:00:00,2025-01-14 20:30:00,2.3,33.85,8.4,3,3,1,5,11,Pseudocalanus sp.,f,22.3,,42
5,2025-01-12 11:00:00,2025-01-14 20:30:00,2.3,33.85,8.4,3,3,1,5,12,Centropages typicus,m,24.2,,NA
